,Net profit before tax/Paid-in capital,ROA(C) before interest and depreciation before interest,Liability to Equity,Current Liabilities/Equity,Borrowing dependency,Current Liability to Equity,ROA(B) before interest and depreciation after tax,Persistent EPS in the Last Four Seasons,Inventory and accounts receivable/Net value,ROA(A) before interest and \% after tax,Clusters,Classification
0,0,0.159746625443028,0.481207039438405,0.277101030032339,0.328557982901565,0.372689187466309,0.328557982901565,0.513143101879116,0.207053039614257,0.396951862415815,0.469417793283908,1
1,1,0.17707563532162,0.501828109004046,0.278182606141791,0.330437004052058,0.36963718146295,0.330437004052058,0.552706247657798,0.224922000567269,0.397523924102017,0.557893589184474,1
2,2,0.170733730487897,0.517574221225564,0.276185623305853,0.327758422216964,0.370289185676932,0.327758422216964,0.559880079233364,0.216223882008131,0.396670520602929,0.537505451373746,1
3,3,0.182867053766684,0.521669185394628,0.277461476728904,0.32780176804737,0.373206988411548,0.32780176804737,0.580491460998983,0.233052850524723,0.400500788426938,0.596162232882686,1
4,4,0.174926476133022,0.492175693462682,0.282763173305042,0.333345173795489,0.37930429025483,0.333345173795489,0.533326195192462,0.217736598279285,0.404533354411641,0.544319668556476,1
5,5,0.171668803257673,0.509628040754643,0.277313155387702,0.328543326647797,0.372794313360159,0.328543326647797,0.550725413566037,0.213103904698875,0.397391291533085,0.540994330571304,1
6,6,0.158517457205339,0.440842392629064,0.292280993136897,0.339300433930327,0.387495163090522,0.339300433930327,0.498420686332245,0.200245816394063,0.427322041255428,0.520115569123419,1
7,7,0.246308724832215,0.727246136596305,0.276611296113651,0.328518402846793,0.36963718146295,0.328518402846793,0.744579474275925,0.289590621159119,0.400594569031233,0.761338857392063,1
8,8,0.162016439182565,0.53522156681129,0.277512983623028,0.327625831800819,0.374127399163019,0.327625831800819,0.572514588575406,0.210740285525196,0.394497490029112,0.514609681639773,1
9,9,0.174443857929266,0.496611904645834,0.275699570291451,0.327355608976723,0.36963718146295,0.327355608976723,0.542266716633653,0.21858750118181,0.396255206498192,0.553041866550371,1
10,10,0.217442123520097,0.560230097986643,0.278687282806705,0.330345037553358,0.371944359324779,0.330345037553358,0.614754537180791,0.274274368913681,0.40152969562835,0.621565634539904,1
11,11,0.150750320488651,0.411690147711207,0.280874123683379,0.333706910152509,0.372754052379536,0.333706910152509,0.472295090743616,0.197220383851754,0.411382017971043,0.482446576537287,1
12,12,0.199683281803786,0.498318139716277,0.281430142991501,0.332270816805366,0.374808480751896,0.332270816805366,0.545318271856095,0.24411458825754,0.406250879193165,0.555113388573921,1
13,13,0.1751904079632,0.493345683225272,0.280766722935442,0.331158592743728,0.378658996204284,0.331158592743728,0.542534396916323,0.219627493618228,0.406074035767922,0.545573484518099,1
14,14,0.27847070356685,0.619217081850534,0.276654098165574,0.327913987059797,0.36963718146295,0.327913987059797,0.643556935596124,0.317859506476317,0.398122780246589,0.656672481465329,1
15,15,0.176992685317849,0.520742943499244,0.278288477066647,0.327828338930578,0.373696830342464,0.327828338930578,0.577546977889609,0.224071097664744,0.398637233847296,0.56220017444396,1
16,16,0.221461428248247,0.621264563935066,0.276583100118709,0.328124082403939,0.369793751943152,0.328124082403939,0.654103538733337,0.26567079512149,0.40010423044306,0.671336676842564,1
17,17,0.184171631098711,0.513235509189295,0.278444522373951,0.330423191381839,0.370847247602794,0.330423191381839,0.553241608223138,0.227569254041789,0.401125099306961,0.564489751417357,1
18,18,0.17379533971797,0.497733144834983,0.275584993155416,0.327109625062338,0.36963718146295,0.327109625062338,0.553616360618877,0.221707478491065,0.397059040249296,0.562309201918884,1
19,19,0.188017494909886,0.518354214400624,0.278300240893669,0.328438538594868,0.37302469563817,0.328438538594868,0.567910487713475,0.233336484825565,0.398334456467713,0.568251199302224,1
20,20,0.191524017796546,0.547798956759128,0.278291497521679,0.327751650736357,0.37278312975443,0.327751650736357,0.584506665239038,0.237590999338187,0.398279527828055,0.575992150021805,1
21,21,0.220737500942614,0.566811290401209,0.282826353184242,0.334488377166309,0.371548459681983,0.334488377166309,0.621553616360619,0.274179824146733,0.413766724765984,0.626362843436546,1
22,22,0.166284593922027,0.467264661434212,0.288350382937151,0.342578765530117,0.369639418184096,0.342578765530117,0.517158306119171,0.211307554126879,0.41885499241047,0.527365896205844,1
23,23,0.145599879345449,0.470920879442305,0.278248271860323,0.328043358305174,0.374426001435975,0.328043358305174,0.518175491193319,0.201285808830481,0.395881423803929,0.491550370693415,1
24,24,0.28474474021567,0.683274021352313,0.276272752305781,0.327987153468133,0.36963718146295,0.327987153468133,0.750414904438139,0.354353786517916,0.399027093216581,0.761665939816834,1
25,25,0.208219591282709,0.558962609077171,0.280046577487121,0.331603622977216,0.37422916997515,0.331603622977216,0.594303763584774,0.249692729507422,0.40619327110767,0.611862189271696,1
26,26,0.174293039740593,0.49012821137815,0.277703262449267,0.329580194086333,0.372525906822671,0.329580194086333,0.552652711601263,0.223125649995273,0.397498469366566,0.561709550806803,1
27,27,0.158276148103461,0.458635986935114,0.280869066995806,0.330456694642418,0.376757783230407,0.330456694642418,0.508592537073719,0.206391226245627,0.39987111865524,0.504470126471871,1
28,28,0.21999095090868,0.567396285282504,0.277255093125521,0.32930449197039,0.36963718146295,0.32930449197039,0.617913164516302,0.271532570672213,0.399477240117199,0.630887483645879,1
29,29,0.178681849030993,0.514015502364354,0.27601564885824,0.327739467068148,0.369761319486538,0.327739467068148,0.559237646554955,0.22454382149948,0.401616777618053,0.559365460095944,1
30,30,0.179073976321544,0.498318139716277,0.277294363736464,0.3275057730744,0.371143613154604,0.3275057730744,0.549601156378821,0.225489269168951,0.397794548131555,0.562363715656345,1
31,31,0.165681321167333,0.458197240774143,0.278434571887355,0.328614099445246,0.371643520330677,0.328614099445246,0.510038010600139,0.210362106457408,0.399130251881306,0.506432621020497,1
32,32,0.12876856948948,0.365183054648272,0.275416004755598,0.32702924726509,0.36963718146295,0.32702924726509,0.397933508217785,0.158173395102581,0.402395156633705,0.413977322285216,1
33,33,0.188658472211749,0.531516599229757,0.27706333514823,0.328110547776248,0.369826184399765,0.328110547776248,0.591573424701537,0.241845513850808,0.395038738088189,0.601831661578718,1
34,34,0.201545886433904,0.554331399600253,0.276558495178119,0.32753766427457,0.36963718146295,0.32753766427457,0.593768403019434,0.246289117897324,0.395518358893014,0.609136502398604,1
